Idade;Faixa idade;Gênero;Cor/raca/etnia;Estado onde mora;Região onde Mora;Nível de Ensino;Área de Formação;Qual sua situação atual de trabalho?;Cargo Atual;Faixa salarial;Quanto tempo de experiência na área de dados você tem?;Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?
38;35-39;Masculino;Preta;São Paulo (SP);Sudeste;Estudante de Graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Freelancer;Outra Opção;de R$ 2.001/mês a R$ 3.000/mês;Menos de 1 ano;de 1 a 2 anos
29;25-29;Masculino;Parda;São Paulo (SP);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de BI/BI Analyst;de R$ 8.001/mês a R$ 12.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27;25-29;Feminino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
38;35-39;Feminino;Branca;Distrito Federal (DF);Centro-oeste;Pós-graduação;Outra opção;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;de 1 a 2 anos
42;40-44;Masculino;Preta;Minas Gerais (MG);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);;de R$ 20.001/mês a R$ 25.000/mês;Mais de 10 anos;de 7 a 10 anos
23;22-24;Masculino;Branca;Rio Grande do Sul (RS);Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;de R$ 4.001/mês a R$ 6.000/mês;de 3 a 4 anos;Menos de 1 ano
24;22-24;Masculino;Parda;São Paulo (SP);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
24;22-24;Feminino;Branca;Santa Catarina (SC);Sul;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de BI/BI Analyst;de R$ 2.001/mês a R$ 3.000/mês;Menos de 1 ano;de 1 a 2 anos
32;30-34;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);;de R$ 20.001/mês a R$ 25.000/mês;de 5 a 6 anos;Mais de 10 anos
24;22-24;Masculino;Parda;Ceará (CE);Nordeste;Mestrado;Química / Física;Trabalho na área Acadêmica/Pesquisador;;;;
38;35-39;Feminino;Parda;São Paulo (SP);Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Menos de 1 ano
34;30-34;Masculino;Branca;São Paulo (SP);Sudeste;Mestrado;Outra opção;Empregado (CLT);;de R$ 16.001/mês a R$ 20.000/mês;de 5 a 6 anos;Menos de 1 ano
28;25-29;Masculino;Parda;Espírito Santo (ES);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Analytics Engineer;de R$ 12.001/mês a R$ 16.000/mês;de 5 a 6 anos;Menos de 1 ano
43;40-44;Masculino;Parda;São Paulo (SP);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);;de R$ 20.001/mês a R$ 25.000/mês;de 1 a 2 anos;Mais de 10 anos
51;50-54;Masculino;Parda;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);DBA/Administrador de Banco de Dados;de R$ 8.001/mês a R$ 12.000/mês;Mais de 10 anos;de 7 a 10 anos
48;45-49;Masculino;Preta;São Paulo (SP);Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empreendedor ou Empregado (CNPJ);;de R$ 20.001/mês a R$ 25.000/mês;Mais de 10 anos;de 1 a 2 anos
36;35-39;Masculino;Branca;Santa Catarina (SC);Sul;Graduação/Bacharelado;Outras Engenharias;Empreendedor ou Empregado (CNPJ);Analista de BI/BI Analyst;de R$ 12.001/mês a R$ 16.000/mês;de 7 a 10 anos;de 3 a 4 anos
25;25-29;Feminino;Branca;Rio de Janeiro (RJ);Sudeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
35;35-39;Feminino;Parda;Goiás (GO);Centro-oeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Analista de Dados/Data Analyst;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29;25-29;Masculino;Parda;São Paulo (SP);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;Menos de 1 ano;Menos de 1 ano
36;35-39;Masculino;Branca;Rio Grande do Sul (RS);Sul;Mestrado;Marketing / Publicidade / Comunicação / Jornalismo;Empregado (CLT);;de R$ 16.001/mês a R$ 20.000/mês;de 7 a 10 anos;de 3 a 4 anos
28;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);;de R$ 16.001/mês a R$ 20.000/mês;de 7 a 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
46;45-49;Masculino;Branca;Rio Grande do Sul (RS);Sul;Mestrado;Outras Engenharias;Empreendedor ou Empregado (CNPJ);;de R$ 25.001/mês a R$ 30.000/mês;Mais de 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29;25-29;Feminino;Branca;Espírito Santo (ES);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Analista de BI/BI Analyst;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;de 1 a 2 anos
26;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Marketing / Publicidade / Comunicação / Jornalismo;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
36;35-39;Masculino;Branca;Paraná (PR);Sul;Pós-graduação;Outras Engenharias;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 16.001/mês a R$ 20.000/mês;de 5 a 6 anos;de 3 a 4 anos
27;25-29;Feminino;Parda;Rio de Janeiro (RJ);Sudeste;Mestrado;Outras Engenharias;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Menos de 1 ano
31;30-34;Masculino;Branca;Ceará (CE);Nordeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;Menos de 1 ano
27;25-29;Masculino;Branca;Minas Gerais (MG);Sudeste;Graduação/Bacharelado;Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 3.001/mês a R$ 4.000/mês;Menos de 1 ano;Menos de 1 ano
30;30-34;Feminino;Branca;São Paulo (SP);Sudeste;Mestrado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);;de R$ 16.001/mês a R$ 20.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
73;55+;Masculino;Branca;Rio Grande do Norte (RN);Nordeste;Mestrado;Outras Engenharias;Desempregado, buscando recolocação;;;;
27;25-29;Masculino;Parda;São Paulo (SP);Sudeste;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Estatístico;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
24;22-24;Feminino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Ciências Sociais;Estagiário;Cientista de Dados/Data Scientist;de R$ 2.001/mês a R$ 3.000/mês;Menos de 1 ano;de 1 a 2 anos
38;35-39;Feminino;Branca;Paraná (PR);Sul;Pós-graduação;Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde;Prefiro não informar;Outra Opção;Menos de R$ 1.000/mês;Não tenho experiência na área de dados;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de Suporte/Analista Técnico;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31;30-34;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Outra opção;Empregado (CLT);Analista de BI/BI Analyst;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;Menos de 1 ano
28;25-29;Masculino;Parda;São Paulo (SP);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31;30-34;Masculino;Branca;Paraná (PR);Sul;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;de R$ 16.001/mês a R$ 20.000/mês;de 4 a 6 anos;Menos de 1 ano
25;25-29;Outro;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32;30-34;Masculino;Parda;Rio de Janeiro (RJ);Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 8.001/mês a R$ 12.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28;25-29;Masculino;Branca;Minas Gerais (MG);Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de Negócios/Business Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31;30-34;Feminino;Amarela;São Paulo (SP);Sudeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 16.001/mês a R$ 20.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25;25-29;Masculino;Branca;Rio de Janeiro (RJ);Sudeste;Estudante de Graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Somente Estudante (graduação);;;;
33;30-34;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 3.001/mês a R$ 4.000/mês;de 3 a 4 anos;de 3 a 4 anos
24;22-24;Masculino;Parda;Bahia (BA);Nordeste;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
24;22-24;Masculino;Parda;Rio Grande do Sul (RS);Sul;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Outra Opção;de R$ 2.001/mês a R$ 3.000/mês;Menos de 1 ano;Menos de 1 ano
31;30-34;Masculino;Branca;Rio de Janeiro (RJ);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);;de R$ 16.001/mês a R$ 20.000/mês;de 7 a 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25;25-29;Masculino;Parda;São Paulo (SP);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empreendedor ou Empregado (CNPJ);Analista de BI/BI Analyst;de R$ 6.001/mês a R$ 8.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28;25-29;Masculino;Branca;Paraná (PR);Sul;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Analytics Engineer;de R$ 4.001/mês a R$ 6.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 16.001/mês a R$ 20.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
58;55+;Masculino;Amarela;São Paulo (SP);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Analytics Engineer;de R$ 8.001/mês a R$ 12.000/mês;Mais de 10 anos;de 3 a 4 anos
26;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empreendedor ou Empregado (CNPJ);Engenheiro de Machine Learning/ML Engineer/AI Engineer;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Menos de 1 ano
25;25-29;Feminino;Branca;Minas Gerais (MG);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
34;30-34;Feminino;Preta;Rio Grande do Norte (RN);Nordeste;Doutorado ou Phd;Química / Física;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
41;40-44;Masculino;Branca;Distrito Federal (DF);Centro-oeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Servidor Público;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;de R$ 25.001/mês a R$ 30.000/mês;Mais de 10 anos;Mais de 10 anos
28;25-29;Masculino;Branca;Paraná (PR);Sul;Pós-graduação;Outras Engenharias;Empreendedor ou Empregado (CNPJ);;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;de 1 a 2 anos
24;22-24;Masculino;Preta;Espírito Santo (ES);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 3 a 4 anos;Menos de 1 ano
30;30-34;Masculino;Branca;Rio de Janeiro (RJ);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;de 1 a 2 anos
30;30-34;Feminino;Branca;Minas Gerais (MG);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;de 1 a 2 anos
37;35-39;Masculino;Branca;Rio Grande do Sul (RS);Sul;Pós-graduação;Outras Engenharias;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 12.001/mês a R$ 16.000/mês;de 1 a 2 anos;Menos de 1 ano
33;30-34;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 4.001/mês a R$ 6.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28;25-29;Feminino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
34;30-34;Masculino;Branca;Rio Grande do Sul (RS);Sul;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);;de R$ 25.001/mês a R$ 30.000/mês;de 5 a 6 anos;de 3 a 4 anos
34;30-34;Masculino;Parda;Pernambuco (PE);Nordeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Outra Opção;de R$ 1.001/mês a R$ 2.000/mês;Não tenho experiência na área de dados;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
50;50-54;Masculino;Parda;Rio de Janeiro (RJ);Sudeste;Pós-graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Estatístico;de R$ 20.001/mês a R$ 25.000/mês;Mais de 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
30;30-34;Feminino;Branca;Minas Gerais (MG);Sudeste;Doutorado ou Phd;Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde;Somente Estudante (pós-graduação);;;;
22;22-24;Masculino;Branca;Rio Grande do Sul (RS);Sul;Estudante de Graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
46;45-49;Feminino;Parda;São Paulo (SP);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Desempregado, buscando recolocação;;;;
26;25-29;Masculino;Preta;Distrito Federal (DF);Centro-oeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de Suporte/Analista Técnico;de R$ 3.001/mês a R$ 4.000/mês;Não tenho experiência na área de dados;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
19;17-21;Feminino;Branca;São Paulo (SP);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Analista de Dados/Data Analyst;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31;30-34;Masculino;Branca;Rio Grande do Sul (RS);Sul;Pós-graduação;Outra opção;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 12.001/mês a R$ 16.000/mês;de 5 a 6 anos;de 5 a 6 anos
23;22-24;Feminino;Parda;Bahia (BA);Nordeste;Estudante de Graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Trabalho na área Acadêmica/Pesquisador;;;;
51;50-54;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empreendedor ou Empregado (CNPJ);;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;Mais de 10 anos
26;25-29;Feminino;Parda;Minas Gerais (MG);Sudeste;Graduação/Bacharelado;Outra opção;Empregado (CLT);Outra Opção;de R$ 2.001/mês a R$ 3.000/mês;Menos de 1 ano;de 1 a 2 anos
31;30-34;Masculino;Branca;Minas Gerais (MG);Sudeste;Mestrado;Outras Engenharias;Empregado (CLT);;de R$ 12.001/mês a R$ 16.000/mês;de 4 a 6 anos;Menos de 1 ano
24;22-24;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Menos de 1 ano
27;25-29;Feminino;Parda;São Paulo (SP);Sudeste;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Ciências Sociais;Desempregado, buscando recolocação;;;;
27;25-29;Feminino;Preta;Rio de Janeiro (RJ);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Estagiário;Analista de BI/BI Analyst;de R$ 1.001/mês a R$ 2.000/mês;de 1 a 2 anos;Menos de 1 ano
23;22-24;Feminino;Branca;Rio Grande do Sul (RS);Sul;Estudante de Graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de Negócios/Business Analyst;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Menos de 1 ano
37;35-39;Masculino;Parda;Rondônia (RO);Norte;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Outra Opção;de R$ 2.001/mês a R$ 3.000/mês;de 3 a 4 anos;de 1 a 2 anos
32;30-34;Feminino;Branca;São Paulo (SP);Sudeste;Estudante de Graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Estagiário;Cientista de Dados/Data Scientist;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;Menos de 1 ano
28;25-29;Masculino;Prefiro não informar;Minas Gerais (MG);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Freelancer;Analista de BI/BI Analyst;de R$ 20.001/mês a R$ 25.000/mês;de 5 a 6 anos;de 1 a 2 anos
37;35-39;Masculino;Branca;Ceará (CE);Nordeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;de 1 a 2 anos
36;35-39;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);;Acima de R$ 40.001/mês;Mais de 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23;22-24;Masculino;Parda;Minas Gerais (MG);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Menos de 1 ano
37;35-39;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;de 5 a 6 anos
30;30-34;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;de 1 a 2 anos
31;30-34;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;de 3 a 4 anos
28;25-29;Feminino;Branca;Rio de Janeiro (RJ);Sudeste;Pós-graduação;Outras Engenharias;Empreendedor ou Empregado (CNPJ);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Menos de 1 ano
26;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de BI/BI Analyst;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28;25-29;Masculino;Parda;Rio de Janeiro (RJ);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 25.001/mês a R$ 30.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31;30-34;Feminino;Branca;São Paulo (SP);Sudeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
47;45-49;Masculino;Parda;Minas Gerais (MG);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de Negócios/Business Analyst;de R$ 2.001/mês a R$ 3.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31;30-34;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Outras Engenharias (não inclui dev);de R$ 12.001/mês a R$ 16.000/mês;de 1 a 2 anos;Mais de 10 anos
30;30-34;Feminino;Parda;Distrito Federal (DF);Centro-oeste;Doutorado ou Phd;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 12.001/mês a R$ 16.000/mês;de 7 a 10 anos;Menos de 1 ano
44;40-44;Masculino;Branca;Minas Gerais (MG);Sudeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;de 7 a 10 anos
19;17-21;Masculino;Parda;São Paulo (SP);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Somente Estudante (graduação);;;;
35;35-39;Masculino;Amarela;Mato Grosso do Sul (MS);Centro-oeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;de 5 a 6 anos
28;25-29;Masculino;Parda;Minas Gerais (MG);Sudeste;Graduação/Bacharelado;Marketing / Publicidade / Comunicação / Jornalismo;Estagiário;Analista de Dados/Data Analyst;de R$ 2.001/mês a R$ 3.000/mês;Menos de 1 ano;Menos de 1 ano
