Idade;Faixa idade;Gênero;Cor/raca/etnia;Estado onde mora;Região onde Mora;Nível de Ensino;Área de Formação;Qual sua situação atual de trabalho?;Cargo Atual;Faixa salarial;Quanto tempo de experiência na área de dados você tem?;Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?
35;35-39;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 12.001/mês a R$ 16.000/mês;de 7 a 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29;25-29;Masculino;Branca;Paraná (PR);Sul;Graduação/Bacharelado;Outras Engenharias;Empreendedor ou Empregado (CNPJ);Cientista de Dados/Data Scientist;Acima de R$ 40.001/mês;de 5 a 6 anos;Menos de 1 ano
44;40-44;Feminino;Branca;Minas Gerais (MG);Sudeste;Doutorado ou Phd;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25;25-29;Feminino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Menos de 1 ano
36;35-39;Masculino;Branca;Acre (AC);;Graduação/Bacharelado;Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;de 5 a 6 anos
36;35-39;Feminino;Parda;Minas Gerais (MG);Sudeste;Pós-graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);;de R$ 12.001/mês a R$ 16.000/mês;Mais de 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
46;45-49;Masculino;Branca;Santa Catarina (SC);Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Professor/Pesquisador;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33;30-34;Feminino;Parda;São Paulo (SP);Sudeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analytics Engineer;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Menos de 1 ano
30;30-34;Masculino;Branca;São Paulo (SP);Sudeste;Mestrado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Economista;de R$ 8.001/mês a R$ 12.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32;30-34;Masculino;Parda;São Paulo (SP);Sudeste;Não tenho graduação formal;;Empregado (CLT);Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;de R$ 12.001/mês a R$ 16.000/mês;de 7 a 10 anos;Menos de 1 ano
